Date,Temp
01/01/81,20.7
01/02/81,17.9
01/03/81,18.8
01/04/81,14.6
01/05/81,15.8
01/06/81,15.8
01/07/81,15.8
01/08/81,17.4
01/09/81,21.8
01/10/81,20
01/11/81,16.2
01/12/81,13.3
01/13/81,16.7
01/14/81,21.5
01/15/81,25
01/16/81,20.7
01/17/81,20.6
01/18/81,24.8
01/19/81,17.7
01/20/81,15.5
01/21/81,18.2
01/22/81,12.1
01/23/81,14.4
01/24/81,16
01/25/81,16.5
01/26/81,18.7
01/27/81,19.4
01/28/81,17.2
01/29/81,15.5
01/30/81,15.1
01/31/81,15.4
02/01/81,15.3
02/02/81,18.8
02/03/81,21.9
02/04/81,19.9
02/05/81,16.6
02/06/81,16.8
02/07/81,14.6
02/08/81,17.1
02/09/81,25
02/10/81,15
02/11/81,13.7
02/12/81,13.9
02/13/81,18.3
02/14/81,22
02/15/81,22.1
02/16/81,21.2
02/17/81,18.4
02/18/81,16.6
02/19/81,16.1
02/20/81,15.7
02/21/81,16.6
02/22/81,16.5
02/23/81,14.4
02/24/81,14.4
02/25/81,18.5
02/26/81,16.9
02/27/81,17.5
02/28/81,21.2
03/01/81,17.8
03/02/81,18.6
03/03/81,17
03/04/81,16
03/05/81,13.3
03/06/81,14.3
03/07/81,11.4
03/08/81,16.3
03/09/81,16.1
03/10/81,11.8
03/11/81,12.2
03/12/81,14.7
03/13/81,11.8
03/14/81,11.3
03/15/81,10.6
03/16/81,11.7
03/17/81,14.2
03/18/81,11.2
03/19/81,16.9
03/20/81,16.7
03/21/81,8.1
03/22/81,8
03/23/81,8.8
03/24/81,13.4
03/25/81,10.9
03/26/81,13.4
03/27/81,11
03/28/81,15
03/29/81,15.7
03/30/81,14.5
03/31/81,15.8
04/01/81,16.7
04/02/81,16.8
04/03/81,17.5
04/04/81,17.1
04/05/81,18.1
04/06/81,16.6
04/07/81,10
04/08/81,14.9
04/09/81,15.9
04/10/81,13
04/11/81,7.6
04/12/81,11.5
04/13/81,13.5
04/14/81,13
04/15/81,13.3
04/16/81,12.1
04/17/81,12.4
04/18/81,13.2
04/19/81,13.8
04/20/81,10.6
04/21/81,9
04/22/81,10
04/23/81,9.8
04/24/81,11.5
04/25/81,8.9
04/26/81,7.4
04/27/81,9.9
04/28/81,9.3
04/29/81,9.9
04/30/81,7.4
05/01/81,8.6
05/02/81,11.9
05/03/81,14
05/04/81,8.6
05/05/81,10
